Company Name,Industry,Symbol,Series,ISIN Code
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
Brightcom Group Ltd.,Information Technology,BCG,EQ,INE425B01027
CESC Ltd.,Power,CESC,EQ,INE486A01021
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,INE126A01031
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01028
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kec International Ltd.,Capital Goods,KEC,EQ,INE389H01022
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
